  PID TTY          TIME CMD
 1638 ?        00:00:01 ibus-engine-sim
 1641 ?        00:00:00 pulseaudio
 1643 ?        00:00:00 rtkit-daemon
 1674 ?        00:00:00 indicator-keybo
 1676 ?        00:00:00 indicator-messa
 1677 ?        00:00:00 indicator-bluet
 1695 ?        00:00:00 indicator-power
 1703 ?        00:00:00 indicator-datet
 1713 ?        00:00:00 indicator-sound
 1722 ?        00:00:00 indicator-print
 1727 ?        00:00:00 indicator-sessi
 1739 ?        00:00:00 kworker/5:1H
 1766 ?        00:00:00 indicator-appli
 1823 ?        00:00:00 evolution-sourc
 1829 ?        00:00:00 colord
 1831 ?        00:00:00 dconf-service
 1849 ?        00:00:00 notify-osd
 1857 ?        00:04:17 compiz
 1867 ?        00:00:00 evolution-calen
 1871 ?        00:00:00 polkit-gnome-au
 1900 ?        00:00:00 nm-applet
 1904 ?        00:00:00 unity-fallback-
 1908 ?        00:00:00 nautilus
 1917 ?        00:00:00 gvfs-udisks2-vo
 1923 ?        00:00:00 udisksd
 1942 ?        00:00:00 gvfs-mtp-volume
 1946 ?        00:00:00 gvfs-gphoto2-vo
 1954 ?        00:00:00 gconfd-2
 1957 ?        00:00:00 gvfs-afc-volume
 1971 ?        00:00:00 gvfsd-trash
 1980 ?        00:00:00 gvfsd-burn
 2029 ?        00:00:00 cupsd
 2056 ?        00:00:00 telepathy-indic
 2063 ?        00:00:00 mission-control
 2076 ?        00:00:00 zeitgeist-datah
 2081 ?        00:00:00 zeitgeist-daemo
 2087 ?        00:00:00 zeitgeist-fts
 2112 ?        00:00:00 cat
 2138 ?        00:00:00 update-notifier
 2161 ?        00:00:07 gnome-terminal
 2168 ?        00:00:00 gnome-pty-helpe
 2169 pts/0    00:00:00 bash
 2187 ?        00:00:00 deja-dup-monito
 2521 pts/0    00:00:00 ps
