  PID TTY          TIME CMD
 1577 ?        00:00:00 ibus-x11
 1585 ?        00:00:00 bamfdaemon
 1589 ?        00:00:00 gvfsd-fuse
 1600 ?        00:00:00 at-spi2-registr
 1647 ?        00:00:00 upowerd
 1683 ?        00:00:00 ibus-engine-sim
 1685 ?        00:00:00 pulseaudio
 1687 ?        00:00:00 rtkit-daemon
 1689 ?        00:00:00 indicator-keybo
 1694 ?        00:00:00 indicator-messa
 1717 ?        00:00:00 indicator-bluet
 1721 ?        00:00:00 indicator-power
 1733 ?        00:00:00 indicator-datet
 1735 ?        00:00:00 indicator-sound
 1738 ?        00:00:00 indicator-print
 1745 ?        00:00:00 indicator-sessi
 1776 ?        00:00:00 indicator-appli
 1818 ?        00:00:00 evolution-sourc
 1880 ?        00:00:00 colord
 1882 ?        00:00:00 dconf-service
 1895 ?        00:00:00 notify-osd
 1899 ?        00:00:00 systemd-localed
 1904 ?        00:00:12 compiz
 1914 ?        00:00:00 cupsd
 1923 ?        00:00:00 evolution-calen
 1932 ?        00:00:00 polkit-gnome-au
 1963 ?        00:00:00 nm-applet
 1965 ?        00:00:00 unity-fallback-
 1969 ?        00:00:00 nautilus
 1978 ?        00:00:00 gvfs-udisks2-vo
 1987 ?        00:00:00 udisksd
 2008 ?        00:00:00 gvfs-mtp-volume
 2012 ?        00:00:00 gvfs-gphoto2-vo
 2018 ?        00:00:00 gvfs-afc-volume
 2026 ?        00:00:00 gconfd-2
 2032 ?        00:00:00 gvfsd-trash
 2039 ?        00:00:00 gvfsd-burn
 2090 ?        00:00:00 telepathy-indic
 2097 ?        00:00:00 mission-control
 2112 ?        00:00:00 zeitgeist-datah
 2117 ?        00:00:00 zeitgeist-daemo
 2126 ?        00:00:00 zeitgeist-fts
 2151 ?        00:00:00 cat
 2154 ?        00:00:02 gnome-terminal
 2160 ?        00:00:00 gnome-pty-helpe
 2161 pts/9    00:00:00 bash
 2222 ?        00:00:00 update-notifier
 2262 ?        00:00:00 deja-dup-monito
 2274 pts/9    00:00:00 ps
